,reviews,senti
0,dslr giant canon launched entry level dslr actually bought camera friend camera worth seepros easy decent battery backup live mode operation laggingcons focusing dslr making much noise kind annoying lose interest taking photo shortcut assigned button change stop aperture manufacturer keeping dedicated button changing thing importance aperture cant change focusing point pressing round dial system press setup open output image quality actually mind blowing white balance want take risk main issue camera flash snap focusing flicker like anything annoy irritate subject noise noise noise whatever noise went service center saying prime lens good outputi nikon user nikon compared camera taking image setting manual mode output nikon better canon word want push photography next level using point shoot mobile camera dslr learn whole dslr setting mindset change camera year canon accessory comparatively costly nikon wont create hole pocketi biased towards nikon wrote feltits worth money,2
1,good camera beginner,2
2,great camera perfect product young budding photographer useful inhouse nature function spare time photography take high quality video portrait landscape wildlife nature,2
3,really impressed amazon surprise delivering within ordered really packing excellent quality material awesome love control camera mobile wifi easy connect best taking self photo group also quality canon speaks everything dont oscillation beginner blindly,2
4,product canon local service center help even providing product demo logged complain canon india site bothered reply amazon call raised hand saying proof service local service center dslr producing blur image canon providing proper service stay away,2
5,request replacement camera main body blackspotblackness automatically appears view finder mirror daysit requested please replace camera soon possibleawaiting early replyregards,2
6,received product dslr cannon october adopter given along dslr common accessoriesthey must deliver soon possibleotheewise gave complain,0
7,auto focus perfectminimum aperture dont expect much portraitwhile focusing manually play lense chance getting missing focus even though made correctlyeasy operate compared nikkon modelsfast moving subject cannot captured expected poor auto focus performance take second focus internal lighting condition fail focus several time lightsplastic quality poori value money product dont model willing better nikkon,0
8,want upgrade camera point shoot dslr good camera want start videography dont auto focus video much want camera videography canon nikon,0
9,really fully content product reached within everything content doubt good condition somewhat difficult beginner take long learn choosing canon nikon suggest canon real colour capturing fine focus lens slightly feature nikon canon price doesnt mean surely better canon look contrast canon nikon internet think suggest samecanon,0
10,canon cheated entire photography community photographer flash studio light camera external flash studio ligits like elinchrom godox work reason saying thisthe mount flash point contact missing removed main point contact,0
11,dear friend camera youtube career buying camera youtube career camera doesn input also take great video able record great video without input auto focus option video recording basic camera camera good picture click,2
12,camera perfect choice beginner price range decent camera user friendly recommend everyone camera tight budget,2
13,paid product read review bought expensive people offer period tried feature felt terribly disappointed autofocus joke take forever click photo slightest light annoyed feel like bought cyber shot instead nikon better hand term clarity photograph quality battery grip display however youll thats worth dont dslrs every choose better camera,2
14,good product really passion photography,2
15,dual lens body mastercard exactly half showroom pricetoo early commentexcellent delivery within daysi best beginner natural photo nikonproshandyeasy usebest blur lensvarious modesnatural colourfast autofocusbest beginnersconslack touchscreen look pricebluetooth availableyou cant operate camera connecting smartphoneno wifi connectivity available laptopssuffer lightoverall best beginner even upto semi level,2
16,thanks amazon courier partner quick delivery well awesome deal amazon purchased around free gift motorola wired headphone worth coming camera great learning camera especially beginner love photography also want enhance personal experience using week combination shutter speedaperture desired white balance click practically desired picture want clickthe camera come lens self acclaimed beginner master parameter lens obviously desired range lens available marketthe shortcoming personally found focus need adjusted manuallyyou need patience clicking picture shortcoming sure area need improve camera,2
17,camera good conditioni received charger battery doesnt charge batterycharger received faultydont know itas really frustrated return policy also,0
18,best entry level dslr camera used point shoot mobile built guide make easier learn auto focus picture quality also good time situation generates noiy picture extra flash wise best video also good blogging video manual focus best result better nikon video auto focus feature better camera budget limited dslr must,2
19,amazon dispatched camera home went official trip time hence able check operation came home opened product captured image good later tried transfer image camera mobile wifi found camera getting switched tried several time problem remain tried return camera seller accepting request date return already crossedi contacted friend working photo studio regarding expressed canon type problem seen many camera problemswe request buyer willing product avoid online purchase product verify purchasingnow request amazon help regarding issue,2
20,good camera experienced professional photography challenging newcomer photographyflash make much noiseyou cannot record good quality sound support external micethis camera support audio jack recording soundwifi control video recording functionno bluetooth connection could established devicesthis camera manufactured recently recent audio jackthey using audio jack technology external audio jack compatible canon give connectin cable audio jack complies camera unfortunately camera provide itthus concluded outdated product dumped indian market amazon platformif canon disprove remove product review update,2
21,first thanks amazon giving wonderful offer dream come true finally dslrpicture quite awesome light well light still learning different mode camera taking picture beginner little difficult handle auto mode used dont understand anything quality come better camera manually,2
22,purchased brother last year amazoni single slightly disappointed otherwiseexcellent dslr beginnerseasy usegood qualitydecent battery backupworth moneyfact expectation high stabilization photo output please canon beginner keep expectation much,0
23,hour make decision next flight korea thought buying dslr night didnt make decision earlier iphone kind best class camera quickly research found option watched youtube video make final call guess made right choice took next morning delivery paying extra camera superb star though handled sony camera earlier first dslr believe quite easy follow instruction manual would highly recommend read manual homerehearsal capture actual picture attaching captured hour experiment,2
24,battery faulty drain even,0
25,warranty registered warrantyjust finished registering camera lensgreat camera love steady great start hobbyprofession dont compare camera good great dslr warranty take care party wedding video shoot excellent battery life camera case goodit external,2
26,explainyes point youll feel dated rather well live view face detect jerky continuous slowbut negativesthe camera take wonderful picture digic image processor jpegs perfectly usable want perfection shooting give needthe color captured camera perfect natural setting tweak taste picture setting menuthe build quality solid ergonomics camera especially grip wonderful feel perfect hand menu system uncluttered quite intuitive easy customize camera specific needsyou shoot video camera without continuous youll better result switch manual focus videowhy best dslrbecause limitation simple straightforward usability take control photograph video unlike advanced model take control away make choice result exact photograph intended take combined megapixel sensor sensor found almost canon apsc dslrs upto image quality much expensive camerasthe digic processor good image processing frankly advanced processor bring feature youre video youll miss digic processor adequate photography needswith consideration best dslr could opinion,2
27,wanted return order purchase canon like never option tried contacting care number time nobody help atlease chance assistance regarding return still packed happy product even charged battery even,2
28,picture quality fantastic camera handling feature good attract beginner,2
29,amazon playing cheap game customer ordered product almost sale daybits cost around fooling customer kind false pricing every product return policy acceptable reurns accepts replacement cheap gameplay amazon really think customer promising thing kind fraud thing never ever buyer amazon good lost loyal customer anything except stop ordering enough added advantage competitor,2
30,excellent camera beginner advance user picture crystal clear suggest deal,2
31,delivery calling pick product returned item,1
32,amazing product extended warranty using working good product clean sealed conditionprosamazing picture quality handylight weightgripping good best feature wifi nfccan transfer image directly phone memory card battery includedcons camera carrying small extra battery package extra backup dont come screen protector display protection scratch,2
33,dslr feasible price excellent picture qualitysturdy body ergonomic design easy grasp compatible accessory lens like tele zoom lens macro lens part standard lens kiteasy operatefairly good battery lifeeasy connectivity multiple option wireless usbhdmi,2
34,bought camera working well lens move performance lowbattery backup also lessbut overall good camera night lens take hell alot time focusso suggestion amazon wont refund sell camera,1
35,camera brought cost month deduction monthsthat come question cost benefit,2
36,first ordered product amazon great sale next price disappointed camera beginner want learn basic photography casual want proper professional camera photography would suggest,2
37,camera photography cant record good video doesnt continuous autofocus video recordingeven mobile phone function auto focus fixed video recordinglike move videothen focuswhich disgusting video mean movie moving object,0
38,product absolutely perfect amazon service professional dont going shoot video bcoz doesnt support amazon tell description product lost amazon mention returnable actually exchangeable totally denied take back careful buying,2
39,purchased canon dslr small research result fantastic digital camera month purchase found sometimes shutter start operating automatically without clicking picture sometimes worked sometimes automatically opening closing shutter annoying noice started contacted canon serice centre gave address local service centre jabalpur gave camera repairing sent indore city workshop took nearly half month return working time shutter problem started againnow give camera workshop using faulty camera sometimes work sometimes doesnt work shutter problemi thought earlier canon excellent brand thinking totally changed,2
40,candid excellent picture clarity best price cant great first dslr folksthe disappointment courier service pathetic service amazon delivery worst since couple month recently amazon rethink courier partner drawback worst delivery service,0
41,first camera picture great video quality acceptable level cost image high resolution good even light videosfor beginner like meit take week learn various setting like auto manual focus aperture shutter isoyoutube useful first time user familiar settingsthe seller nice delivery good product authenticas alwaysthe quality good free cardbut space camera take high resolution image videosjust,2
42,beginner great optiongo learning basic photographyimage quality decentlow light photography control ownrest covered,2
43,first dslr mention point liked sumthing didnt likedliked good time photography lightweight good normal photography lens good bokey effectdisliked lens good flash bright night time photo good quality feel average photo quality average,0
44,review seller please think twice purchase anything seller camera recieved seal packed tape give illusion camera light scratch screen alert bingo came real issue menu button faulty,2
45,canon best entry level dslr easy convenient usethe canon connect superb worry transfering memory cardjst connect dslr inbuilt wifi smartphone view download picsave phonelaptop also view click smartphonethis best function camerathe dslr work well even lighti tried clicking without using flashand came superbimages crisp issue pixelisationday time image superb doubt,2
46,used time till working properlyi thinking might setting problem setting problem press click button stuck screen always show busy error frustrated pick clicking picture problem first switched work click show busy click button work even able press timekindly needful still warranty,0
47,picture taken basic lens full zoom manual mode retouched small size real lifelike happy purchase canon website extremely designed straightforward update warranty like lenovo wrote mail attaching invoice acknowledgement nothing camera good hopefully wont visit service center year problem check youtube video dslr performance camera word picture course invoice number appario downloaded product page declared invalid invoice number canon india warranty page,0
48,using camera past month recommend product beginner around kyou great photo using itto improve quality photo even prime lens recommendedadded benefit wifi easily transfer photo share worldalthough dont making videosi added photo clicked using,2
49,need return replace product informed canon amazon canon eosd shoe point main thus support studio light triggerbeing genuine customer visited whole mumbai city adopter available asking amazon canon return replace product simply getting away saying return window closednot fair,2
50,bought product photography strange totally worst camera result never seen year usage autofocus issue camera camera taking autofocus product timei tried many time option wise selection also totally waste money camera purchase autofocusing facilityplease camera totally waste money nothing else,0
51,great product naught family trip professional photography experience still picture perfect auto modehave exploring feature beginner looking phone must havei ordered lens regret decision lens costly naught separately would suggest anyone lens budget permit though lens fine need zoom much helpful,2
